Character,Alternate Names,Role,Faction,Friends,enimies
Ugrasravas the Suta,,Teller of Ancient Tales,Human,"Lomaharsana the Suta,Brahmin seers",
Brahmin seers,,,Human,,
Lomaharsana the Suta,,A Suta,Human,,
Saunaka,,Chief of Brahmin seers,Human,Brahmin seers,
Janamejaya,,Royal Seer,Human,"Ugrasravas the Suta,Janamejaya's brothers,Somasravas,Sarama,Uttanka",
Janamejaya's brothers,,,Human,,
Sarama,,Divine bitch,God,,
Somasravas,,Household Priest,Human,,
Uttanka,,,Human,"King Pausya,Taksaka",
King Pausya,,,Human,King Pausya's Wife,
King Pausya's Wife,,,Human,,
Taksaka,,King of the Serpents,Animal,,King Pariksit
Puloman,,,Demon,"Puloma,Agni",
Puloma,,Wife of Bhgru,Human,"Bhgru,Cyavana",
Bhgru,,,Human,"Agni,Cyavana",
Cyavana,,Baby of Puloma,Human,Pramati,
Agni,,Yh actual fire,God,"Arjuna,Krsna,Indra",
Pramati,,Son of Cyovana,Human,"Cyavana,Ruru",
Ruru,,Son of Pramati,Human,"Pramadvara,Lizard Ruru",
Pramadvara,,Fiance of Ruru,Apsaras,,
Lizard Ruru,,Cursed man,Human,,
Kasyapa,,,Human,"Kadru,Vinata,Kadru's snake children",
Kadru,,Kasyapa's wife,Human,"Vinata,Kadru's snake children",
Vinata,,Kadru's sister,Human,Aruna,
Kadru's snake children,,,Animal,Vasuki,
Aruna,,Vinatas son,God,,
Gods,,,God,,
Demons,,,Demon,,
Visnu,Narayana,,God,"Gods,Vasuki,Demons",Rahu
Vasuki,,Serpent King,God,"Gods,Demons",
Rahu,,Demon,Demon,,
Garuda,,Vinatas other son,God,"Vinata,Kadru's snake children,Kasyapa,Visnu",Gods
Indra,,God of Rain,God,"Kadru,Brhaspati,Gods,Garuda,Visnu",
Brhaspati,,A Sage,Human,Kaca,
Sesa,,Snake,Animal,"Kadru's snake children,Kadru,Brahma",
Brahma,,God of Creation,God,Vasuki,
Elapatra,,Snake,Animal,"Vasuki,Kadru's snake children,Taksaka",
Astika,,,Human,"Jaratkaru(male),Jaratkaru(female),Janamejaya",
Jaratkaru(male),,Father of Astika,Human,Jaratkaru(female),
Jaratkaru(female),,Mother of Astika,Human,Vasuki,
King Pariksit,,,Human,Samika (A Sage),
Samika (A Sage),,A Sage,Human,"Srngin,Kasyapa",
Srngin,,Son of Samika,Human,,
Vapustama,,Janamejaya's wife,Human,Janamejaya,
Jaratkaru's Ancestors,,,Human,Jaratkaru(male),
Vyasa,Krsna,Compiler of the Vedas,God,"Janamejaya,Vaisampayana,Kunti,Yudhistra,Bhima,Arjuna,Nakula,Sahadeva",
Vaisampayana,,Student of Vyasa,Human,Janamejaya,
Satyavati,,Mother of Vyasa,Human,"Vyasa,Vasu Uparicara,Parasara,Citrangada,Vicitravirya",
Vasu Uparicara,,Lord of Cedi,Human,"Indra,Brhadratha,Pratyagraha,Kusamba,Macchila,Ksatriya Yadu",
Brhadratha,,Son of Vasu,Human,"Pratyagraha,Kusamba,Macchila,Ksatriya Yadu",
Pratyagraha,,Son of Vasu,Human,"Kusamba,Macchila,Ksatriya Yadu",
Kusamba,Manivahana,Son of Vasu,Human,"Macchila,Ksatriya Yadu",
Macchila,,Son of Vasu,Human,Ksatriya Yadu,
Ksatriya Yadu,,Son of Vasu,Human,,
Girika,,Vasu's Wife,Human,"Vasu Uparicara,Brhadratha,Pratyagraha,Kusamba,Macchila,Ksatriya Yadu",
Adrika,,Fish Lady,Apsaras,"Matsya,Satyavati,Vasu Uparicara",
Matsya,,Son of Adrika,Human,"Satyavati,Vasu Uparicara",
Parasara,,Father of Vyasa,Human,"Vyasa,Vasistha",
Jamadagni,,Father of Rama,Human,Rama,
Rama,,,Human,Drona,
Lady Earth,,Planet Earth,God,Brahma,
Drona,,Warrior,God,"Bharadvaja,Vidura",
Bharadvaja,,Father of Drona,Human,,
Ganga,,Godess of the Ganges,God,"Bhisma,Samtanu",
Bhisma,Devavrata,,Human,"Samtanu,Vasistha,Gods,Sukra,Brhaspati,Satyavati,Citrangada,Vicitravirya,Vyasa,Pandu,Dhrtarastra,Vidura,Drona",
Samtanu,,Father of Bhisma,Human,"Sarvadamana,Pratipa,Satyavati,Citrangada,Vicitravirya",
Dhrtarastra,,Son of Vyasa,Human,"Vyasa,Ambika",
Vidura,,Son of Vyasa,Human,"Arti,Vyasa,Pandu,Dhrtarastra",
Arti,,A Seer,Human,,
Duhsanta,,A King,Human,"Sakuntala,Sarvadamana",
Sakuntala,,,Human,"Kanva,Sarvadamana",
Kanva,,Adopted Sakuntla,Human,Sarvadamana,
Visvamitra,,Father of Sakuntla,Human,"Menaka,Vasistha",
Menaka,,Mother of Sakuntla,Apsaras,Indra,
Sarvadamana,Sarvadamana,Son of Sakuntla,Human,,
Daksayani,,Mother of Vivasvat,God,"Kasyapa,Vivasvat",
